Glottocode	Pop
ghot1243	<10K
aran1261	<10K
arif1239	<10K
anka1246	<10K
afar1241	2000000
arva1236	10K-100K
abau1245	<10K
amar1273	10K-100K
abee1242	300000
west2630	<10K
abid1235	10K-100K
abkh1244	100000
lamp1242	2000000
abua1244	10K-100K
aben1249	<10K
abaz1241	10K-100K
abro1238	1000000
ambo1250	2000000
ambu1247	10K-100K
baha1259	300000
inab1237	10K-100K
anem1248	<10K
abui1241	10K-100K
acha1250	<10K
giky1238	10K-100K
achi1257	4000000
sain1246	200000
acol1236	1000000
meso1252	19000000
acha1249	10K-100K
taiz1242	7000000
achi1256	10K-100K
acht1238	10K-100K
achu1248	<10K
hija1235	11000000
oman1239	2000000
adan1247	800000
adel1244	10K-100K
adho1243	400000
bori1243	200000
adio1239	10K-100K
adyg1241	600000
adze1240	10K-100K
tuni1259	11000000
said1239	19000000
east2379	<10K
akeu1235	10K-100K
amel1241	<10K
gulf1241	11000000
afri1274	7000000
awut1241	200000
agat1236	10K-100K
agar1252	10K-100K
ango1254	<10K
anga1290	<10K
agut1237	10K-100K
tain1253	<10K
aghe1239	10K-100K
agua1253	10K-100K
cent2084	<10K
agua1252	<10K
kahu1241	<10K
aghu1253	10K-100K
ahan1243	100000
axam1237	<10K
akha1245	600000
igoo1238	<10K
aros1241	<10K
anti1245	200000
assy1241	800000
aimo1244	<10K
ainu1240	<10K
aima1241	600000
aari1239	200000
ajab1235	600000
ajie1238	<10K
amri1238	100000
akan1250	13000000
bata1290	800000
akaw1239	10K-100K
anga1292	10K-100K
akla1241	500000
siwu1238	10K-100K
arak1252	<10K
akhv1239	10K-100K
alab1237	<10K
alag1242	400000
aleu1260	<10K
amai1246	<10K
alan1249	<10K
alun1238	10K-100K
algo1255	<10K
alut1245	<10K
sout2694	10K-100K
area1240	10K-100K
alab1254	300000
alya1239	<10K
alur1250	2000000
amah1246	<10K
yane1238	10K-100K
hame1242	10K-100K
amha1245	32000000
amis1246	100000
amba1265	10K-100K
amap1240	<10K
aman1265	<10K
amoo1242	10K-100K
alam1246	<10K
amar1274	<10K
guer1243	10K-100K
west2763	10K-100K
anma1239	<10K
ngas1240	400000
xara1244	<10K
goem1240	100000
obol1243	300000
angi1238	700000
andh1242	10K-100K
anua1242	100000
deny1238	10K-100K
anaa1238	2000000
anyi1245	1000000
pemo1248	<10K
anin1240	<10K
mufi1238	10K-100K
omie1241	<10K
bumb1241	<10K
uabm1237	800000
saaa1240	10K-100K
nort3139	15000000
suda1236	33000000
buki1249	10K-100K
mesc1238	<10K
apin1244	<10K
arop1243	<10K
arop1242	<10K
apur1254	<10K
west2615	10K-100K
apal1257	<10K
safe1240	<10K
n/a	360000000
west2441	<10K
arag1245	10K-100K
arhu1242	<10K
arik1262	<10K
arab1268	<10K
mapu1245	300000
arao1248	<10K
arap1274	<10K
alge1239	35000000
asut1235	500000
assi1247	<10K
cish1238	200000
assa1263	15000000
dano1240	10K-100K
astu1245	600000
pele1245	<10K
zaiw1241	100000
atam1240	10K-100K
ivbi1241	10K-100K
atti1239	600000
atik1240	<10K
aral1243	10K-100K
pamp1244	<10K
nort2686	10K-100K
anei1239	<10K
waor1240	<10K
aush1241	10K-100K
anuk1239	<10K
aust1304	<10K
awiy1238	10K-100K
avar1256	800000
avat1244	10K-100K
auuu1241	<10K
